ID	Symbols	Sites	Effect	IGF1-DMSO-12hr	IGF1-DMSO-15min	IGF1-DMSO-24hr	IGF1-DMSO-2hr	IGF1-DMSO-30min	IGF1-DMSO-48hr	IGF1-DMSO-4hr	IGF1-DMSO-5min	IGF1-DMSO-60min	Serum-DMSO-12hr	Serum-DMSO-15min	Serum-DMSO-24hr	Serum-DMSO-2hr	Serum-DMSO-30min	Serum-DMSO-48hr	Serum-DMSO-4hr	Serum-DMSO-5min	Serum-DMSO-60min
Syk	SYK			0.796869005	0.607471431	0.744009819	0.786318931	0.676235737	0.814086427	0.807926308	0.791816752	0.644746227	0.56814646	0.742154984	0.591174124	0.518429362	0.748091086	0.742772069	0.735728137	0.783988983	0.543174361
TAZ_pS89	WWTR1			0.369226222	0.755096246	0.355828104	0.35559909	0.767190178	0.473223191	0.485800489	0.558080116	0.761337144	0.623170532	0.61093264	0.802508881	0.878003959	0.568081092	0.540488874	0.340803346	0.372356051	0.716012643
TIGAR	TIGAR			0.534165577	0.550137649	0.467407529	0.528456269	0.562202642	0.557034732	0.510245833	0.548466302	0.497997122	0.591935131	0.554196045	0.608376599	0.603447003	0.531323163	0.542303289	0.538102048	0.533463781	0.548236539
TTF1	TTF1			0.148080557	0.167968091	0.152250189	0.142927217	0.167431249	0.154347364	0.142569846	0.145461575	0.156925503	0.141584298	0.133138665	0.157516059	0.167339854	0.124951745	0.148149753	0.12849179	0.139118238	0.158351478
Tau	MAPT			2.276498552	1.503119955	1.734309382	0.829362321	1.873124796	1.60457457	2.141165025	1.441656172	2.280849679	2.40247107	1.84482968	1.83654684	2.055505929	1.654784873	2.590337589	2.591207687	2.0937853	2.145556679
Tuberin	TSC2			1.679236556	1.24357271	1.737924595	1.735513847	1.485439434	1.797143537	1.747006657	1.551206959	1.387443572	1.180667512	1.615912475	1.530164246	1.15723093	1.683124785	1.782108373	1.75421339	1.853041507	1.033963282
VASP	VASP			0.807111191	0.785826997	0.770338998	0.877289477	0.803545453	0.866512509	0.796014628	0.80051434	0.784771216	0.748989798	0.82715557	0.837304544	0.911230953	0.82908984	0.720690985	0.809092521	0.830397912	0.921489467
VEGFR-2	KDR			1.660530793	1.115491962	1.834341031	1.60636099	1.240579838	1.85699187	1.472718206	1.21406587	1.388426207	1.655374016	1.495190168	1.507106889	1.631076958	1.791828948	1.259954902	1.685591616	1.693002616	1.797527612
XIAP	XIAP			1.050109279	1.035707843	1.080049145	1.054039977	1.046601906	1.052512144	1.080357349	1.087716135	1.104944404	1.077636152	1.064586213	1.075523461	1.04446637	0.97510534	1.098803684	1.033628242	0.991106177	0.987050721
XRCC1	XRCC1			0.194746075	0.203406751	0.194856747	0.193180007	0.191923637	0.187097455	0.187663772	0.189322754	0.187231263	0.170500108	0.182067723	0.187966533	0.19829712	0.197305685	0.182589598	0.187102128	0.192686508	0.198938855
YAP	YAP1			1.400586473	1.164479194	1.128154633	1.30942137	1.135211658	1.222696826	1.134648574	1.207281968	1.076468191	1.254097957	1.14522527	1.260913338	1.110382433	1.236864078	1.13939312	1.275455926	1.345318144	1.325173433
YAP_pS127	YAP1			0.496282147	0.376690065	0.538737535	0.507310336	0.393967238	0.682760567	0.424205416	0.378271378	0.431420548	0.385124153	0.299121228	0.460323484	0.216910749	0.202658046	0.384063443	0.191142675	0.281523771	0.213736756
YB-1	YBX1			0.405558302	0.615282542	0.402070173	0.368129511	0.571162251	0.410813448	0.457822761	0.37298292	0.51834677	0.51592928	0.485095402	0.4556141	0.708855327	0.392386702	0.335012332	0.409547791	0.402246616	0.636050635
YB1_pS102	YBX1			1.04688812	0.806822191	0.864292853	0.96820127	0.82670768	0.65294963	1.024835571	0.626266305	0.862955084	0.977703484	0.592056976	0.8911998	1.169711128	0.615913538	0.74267249	0.95261159	0.610860672	0.878937787
alpha-catenin	CTNNA1			0.378730874	0.378858536	0.55465595	0.486760039	0.25567416	0.456473457	0.559031783	0.365546495	0.249115986	0.337471357	0.297619665	0.38562569	0.278173271	0.405028733	0.490132988	0.445246512	0.407926254	0.334984635
b-Catenin	CTNNB1			2.501736229	3.166299473	2.730655545	2.964537977	3.043257305	3.11457491	3.256800864	2.870058927	3.34160344	2.286200409	3.209282621	2.363371919	2.992163123	3.21098001	2.689640781	2.585099605	2.858867573	3.014668112
c-Jun_pS73	JUN			0.347670088	0.446107464	0.347028228	0.37711123	0.426381187	0.342718304	0.365854907	0.38097909	0.413333948	0.494334155	0.37866704	0.369054573	0.602042007	0.407178973	0.355757758	0.512253091	0.363411486	0.553438801
c-Kit	KIT			0.076318035	0.065603563	0.075926154	0.077701263	0.067163411	0.070378219	0.075762274	0.071751612	0.069767494	0.06806605	0.072844847	0.070933684	0.078953352	0.068574987	0.075115898	0.077400117	0.072866053	0.078288484
c-Met	MET			0.224828988	0.211208024	0.222722989	0.208138535	0.206670917	0.200053345	0.202083821	0.217828837	0.219876253	0.212672988	0.211542787	0.20120521	0.206420439	0.19760891	0.220833406	0.219392165	0.221241876	0.203820774
c-Met_pY1234_Y1235	MET			0.484991757	0.432988415	0.460932437	0.451637572	0.438946259	0.44727776	0.463523486	0.466547009	0.452275633	0.42354912	0.459872379	0.47239177	0.444278649	0.488897529	0.459794514	0.469182334	0.469615798	0.495797706
c-Myc	MYC			0.792498111	0.860651812	0.651758452	1.236300934	0.988949335	0.632077507	0.766276953	0.786450648	1.245816745	0.912995676	0.797213212	0.812341266	1.112040577	0.821998977	0.781947791	0.788417656	0.801138878	1.371445103
cIAP	BIRC2			0.295857913	0.24561564	0.30535582	0.288510463	0.264968021	0.299989889	0.298534343	0.302425621	0.271897844	0.252817367	0.29309177	0.283328233	0.25291147	0.302718805	0.285207346	0.299151213	0.302574158	0.287869663
eEF2	EEF2			1.126836615	1.536436056	1.07521373	1.051968619	1.856050694	1.111532457	1.091759192	1.364071679	1.710676178	1.724697871	1.773410131	2.137658978	1.651309025	1.473469445	1.674504246	1.016955573	0.958855612	1.570721798
eEF2K	EEF2K			1.506047843	1.563848428	1.574688735	1.714621147	1.570884967	1.61433209	1.55114115	1.590547263	1.688969213	1.54613658	1.751663696	1.477790573	1.649375003	1.72350753	1.505312315	1.574316992	1.693144898	1.90526018
eIF4E	EIF4E			0.948866487	1.1046624	1.007200556	1.078697723	1.027467457	1.119269833	0.957438582	1.023647401	1.0362531	1.218945333	1.210344747	1.121340741	1.21704006	1.132649528	1.037674087	1.203544057	1.133766726	1.314719268
k-Ras	KRAS			0.266931088	0.233374912	0.253451221	0.25269837	0.235957799	0.26586608	0.255794868	0.255360564	0.246309728	0.249084097	0.238864382	0.255959049	0.230302854	0.233636425	0.245277716	0.260238153	0.238193172	0.247818484
mTOR	MTOR			1.48699519	1.151110057	1.593295531	1.531779701	1.43626881	1.604709919	1.677573571	1.517054018	1.611121143	1.006971352	1.59951833	1.408154638	1.189161826	1.745679963	1.577258183	1.671546428	1.612550576	0.866415679
mTOR_pS2448	MTOR			0.705838636	0.552211596	0.647480923	0.694777841	0.712844519	0.642809014	0.705010259	0.684031356	0.684939717	0.496288729	0.642784718	0.621795308	0.598334196	0.716062339	0.649026131	0.686130363	0.648555028	0.430245548
p21	CDKN1A			0.616619934	0.568135817	0.600506372	0.634032036	0.555514418	0.816379801	0.69992512	0.70530866	0.604336615	0.80946321	0.614352262	0.709368884	0.74054629	0.651637976	0.583161241	0.84183095	0.681709235	0.81275678
p27-Kip-1	CDKN1B			1.136084453	1.397982821	1.127469771	1.406154311	1.281316512	1.48192849	1.104432749	1.142412184	1.318864998	1.393041674	1.464164601	1.433145453	1.800870595	1.387918359	1.226682464	1.448446815	1.410581578	1.739803457
p27_pT157	CDKN1B			0.576315316	0.606384201	0.550355348	0.533973376	0.614942108	0.533393378	0.533676942	0.569240322	0.586169918	0.594394052	0.550776548	0.590865579	0.640142193	0.560864179	0.573964275	0.58344782	0.553742985	0.623832962
p27_pT198	CDKN1B			0.51420085	0.437615455	0.476635343	0.493262675	0.444870242	0.442330065	0.524920689	0.426445035	0.471037689	0.494839438	0.385940602	0.472801598	0.476375906	0.384339398	0.46612991	0.486574685	0.406910581	0.422670018
p38-MAPK	MAPK14			0.667967783	0.642645934	0.677145451	0.63790296	0.736648024	0.682227575	0.668424511	0.645800487	0.69487126	0.680928889	0.621224553	0.666566402	0.755858666	0.670088414	0.665145954	0.629570999	0.660830909	0.811337685
p38_pT180_Y182	MAPK11 MAPK12 MAPK13 MAPK14			0.164811336	0.209275687	0.200263746	0.150094856	0.196751558	0.180752307	0.175103554	0.191919411	0.191035728	0.190314377	0.201514198	0.198026999	0.232774736	0.198291955	0.184451652	0.141047432	0.186161661	0.196839132
p53	TP53			0.192232671	0.170300384	0.202973526	0.208584856	0.153150911	0.240116672	0.197091026	0.195140993	0.157386211	0.242006072	0.205035334	0.261217759	0.185639974	0.227646888	0.197225259	0.285007788	0.234039547	0.229487304
p70-S6K1	RPS6KB1			8.746610147	10.91143344	9.402723309	11.43877	10.14838638	10.89839644	10.19482771	9.852672301	11.09988467	14.34499998	11.03523057	11.55882256	11.61150738	11.03242789	11.2903776	11.65518655	10.88943682	15.02029055
p70-S6K_pT389	RPS6KB1			7.421606302	8.292329221	4.924834628	8.409418976	8.832215148	3.652665948	7.038993181	4.701537347	8.384576574	7.379164218	4.03712833	4.838261925	8.982571821	6.009470534	6.459039967	7.320427162	3.339019162	10.01789036
p90RSK_pT359_S363	RPS6KA1			0.677905801	0.669817223	0.719745096	0.611729512	0.661307752	0.617003506	0.590333386	0.637767755	0.6348255	0.62960346	0.666584784	0.675575926	0.69266151	0.69743346	0.657872861	0.653150851	0.709565428	0.675289399
